Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=118.DD.A.I8.POP.LEV.4D
,DD.A.I8.POP.LEV.4D
,Euro area 19 - Population
Collection:,Average of observations through period (A)
Period\Unit:,[Millions of Persons]
,,obs. status
2022,344.569,Normal value (A)
2021,343.073,Normal value (A)
2020,342.996,Normal value (A)
2019,342.440,Normal value (A)
2018,341.380,Normal value (A)
2017,340.489,Normal value (A)
2016,339.722,Normal value (A)
2015,338.650,Normal value (A)
2014,337.666,Normal value (A)
2013,337.060,Normal value (A)
2012,336.519,Normal value (A)
2011,335.771,Normal value (A)
2010,334.925,Normal value (A)
2009,334.138,Normal value (A)
2008,333.070,Normal value (A)
2007,331.416,Normal value (A)
2006,329.650,Normal value (A)
2005,328.171,Normal value (A)
2004,326.419,Normal value (A)
2003,324.719,Normal value (A)
2002,322.968,Normal value (A)
2001,321.372,Normal value (A)
2000,320.301,Normal value (A)
1999,319.304,Normal value (A)
1998,318.593,Normal value (A)
1997,317.997,Normal value (A)
1996,317.325,Normal value (A)
1995,316.595,Normal value (A)
