Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=390.ENA.A.N.AT.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,ENA.A.N.AT.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,"Total population - Austria - World (all entities, including reference area, including IO), Total economy, Persons, Not applicable, Non transformed data, Neither seasonally adjusted nor calendar adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Thousands]
,,obs. status
2022,9053.68,Normal value (A)
2021,8951.52,Normal value (A)
2020,8916.84,Normal value (A)
2019,8877.64,Normal value (A)
2018,8837.71,Normal value (A)
2017,8795.07,Normal value (A)
2016,8739.81,Normal value (A)
2015,8629.52,Normal value (A)
2014,8543.93,Normal value (A)
2013,8477.23,Normal value (A)
2012,8426.31,Normal value (A)
2011,8388.53,Normal value (A)
2010,8361.07,Normal value (A)
2009,8341.48,Normal value (A)
2008,8321.54,Normal value (A)
2007,8295.19,Normal value (A)
2006,8267.95,Normal value (A)
2005,8225.28,Normal value (A)
2004,8169.44,Normal value (A)
2003,8118.24,Normal value (A)
2002,8082.12,Normal value (A)
2001,8042.29,Normal value (A)
2000,8011.57,Normal value (A)
1999,7992.32,Normal value (A)
1998,7976.79,Normal value (A)
1997,7968.04,Normal value (A)
1996,7959.02,Normal value (A)
1995,7948.28,Normal value (A)
