Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=390.ENA.A.N.BE.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,ENA.A.N.BE.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,"Total population - Belgium - World (all entities, including reference area, including IO), Total economy, Persons, Not applicable, Non transformed data, Neither seasonally adjusted nor calendar adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Thousands]
,,obs. status
2022,11693.00,Provisional value (P)
2021,11592.00,Provisional value (P)
2020,11544.00,Provisional value (P)
2019,11489.00,Normal value (A)
2018,11427.00,Normal value (A)
2017,11375.00,Normal value (A)
2016,11331.00,Normal value (A)
2015,11274.00,Normal value (A)
2014,11209.00,Normal value (A)
2013,11159.00,Normal value (A)
2012,11107.00,Normal value (A)
2011,11038.00,Normal value (A)
2010,10896.00,Normal value (A)
2009,10796.00,Normal value (A)
2008,10710.00,Normal value (A)
2007,10626.00,Normal value (A)
2006,10548.00,Normal value (A)
2005,10479.00,Normal value (A)
2004,10421.00,Normal value (A)
2003,10376.00,Normal value (A)
2002,10333.00,Normal value (A)
2001,10287.00,Normal value (A)
2000,10251.00,Normal value (A)
1999,10226.00,Normal value (A)
1998,10203.00,Normal value (A)
1997,10181.00,Normal value (A)
1996,10157.00,Normal value (A)
1995,10137.00,Normal value (A)
