Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=390.ENA.A.N.CY.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,ENA.A.N.CY.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,"Total population - Cyprus - World (all entities, including reference area, including IO), Total economy, Persons, Not applicable, Non transformed data, Neither seasonally adjusted nor calendar adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Thousands]
,,obs. status
2022,912.70,Provisional value (P)
2021,900.35,Provisional value (P)
2020,892.00,Normal value (A)
2019,881.95,Normal value (A)
2018,870.07,Normal value (A)
2017,859.52,Normal value (A)
2016,851.56,Normal value (A)
2015,847.66,Normal value (A)
2014,852.50,Normal value (A)
2013,861.94,Normal value (A)
2012,863.95,Normal value (A)
2011,850.88,Normal value (A)
2010,829.45,Normal value (A)
2009,808.03,Normal value (A)
2008,786.63,Normal value (A)
2007,767.13,Normal value (A)
2006,750.97,Normal value (A)
2005,738.54,Normal value (A)
2004,727.98,Normal value (A)
2003,718.31,Normal value (A)
2002,709.61,Normal value (A)
2001,701.50,Normal value (A)
2000,694.00,Normal value (A)
1999,686.70,Normal value (A)
1998,679.05,Normal value (A)
1997,670.75,Normal value (A)
1996,661.30,Normal value (A)
1995,650.85,Normal value (A)
