Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=390.ENA.A.N.EE.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,ENA.A.N.EE.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,"Total population - Estonia - World (all entities, including reference area, including IO), Total economy, Persons, Not applicable, Non transformed data, Neither seasonally adjusted nor calendar adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Thousands]
,,obs. status
2022,1331.80,Normal value (A)
2021,1330.07,Normal value (A)
2020,1328.89,Normal value (A)
2019,1324.82,Normal value (A)
2018,1319.13,Normal value (A)
2017,1315.60,Normal value (A)
2016,1315.90,Normal value (A)
2015,1313.30,Normal value (A)
2014,1315.80,Normal value (A)
2013,1320.20,Normal value (A)
2012,1325.20,Normal value (A)
2011,1329.70,Normal value (A)
2010,1333.30,Normal value (A)
2009,1335.70,Normal value (A)
2008,1338.40,Normal value (A)
2007,1342.90,Normal value (A)
2006,1350.70,Normal value (A)
2005,1358.90,Normal value (A)
2004,1366.30,Normal value (A)
2003,1375.20,Normal value (A)
2002,1383.50,Normal value (A)
2001,1392.70,Normal value (A)
2000,1401.30,Normal value (A)
1999,1379.20,Normal value (A)
1998,1393.10,Normal value (A)
1997,1406.00,Normal value (A)
1996,1425.20,Normal value (A)
1995,1448.10,Normal value (A)
