Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=390.ENA.A.N.FI.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,ENA.A.N.FI.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,"Total population - Finland - World (all entities, including reference area, including IO), Total economy, Persons, Not applicable, Non transformed data, Neither seasonally adjusted nor calendar adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Thousands]
,,obs. status
2022,5556.40,Normal value (A)
2021,5541.50,Normal value (A)
2020,5530.70,Normal value (A)
2019,5521.60,Normal value (A)
2018,5516.20,Normal value (A)
2017,5508.20,Normal value (A)
2016,5495.30,Normal value (A)
2015,5480.50,Normal value (A)
2014,5462.50,Normal value (A)
2013,5439.00,Normal value (A)
2012,5414.00,Normal value (A)
2011,5388.30,Normal value (A)
2010,5363.40,Normal value (A)
2009,5338.90,Normal value (A)
2008,5313.40,Normal value (A)
2007,5288.70,Normal value (A)
2006,5266.30,Normal value (A)
2005,5246.10,Normal value (A)
2004,5228.20,Normal value (A)
2003,5213.00,Normal value (A)
2002,5200.60,Normal value (A)
2001,5188.00,Normal value (A)
2000,5176.20,Normal value (A)
1999,5165.50,Normal value (A)
1998,5153.50,Normal value (A)
1997,5139.80,Normal value (A)
1996,5124.60,Normal value (A)
1995,5107.80,Normal value (A)
1994,5088.30,Normal value (A)
1993,5066.40,Normal value (A)
1992,5042.00,Normal value (A)
1991,5013.70,Normal value (A)
1990,4986.40,Normal value (A)
1989,4964.40,Normal value (A)
1988,4946.50,Normal value (A)
1987,4932.10,Normal value (A)
1986,4918.20,Normal value (A)
1985,4902.20,Normal value (A)
1984,4881.80,Normal value (A)
1983,4855.80,Normal value (A)
1982,4826.90,Normal value (A)
1981,4800.00,Normal value (A)
1980,4779.50,Normal value (A)
