Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=390.ENA.A.N.FR.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,ENA.A.N.FR.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,"Total population - France - World (all entities, including reference area, including IO), Total economy, Persons, Not applicable, Non transformed data, Neither seasonally adjusted nor calendar adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Thousands]
,,obs. status
2022,68490.00,Provisional value (P)
2021,68217.00,Provisional value (P)
2020,68004.00,Normal value (A)
2019,67762.00,Normal value (A)
2018,67449.00,Normal value (A)
2017,67116.00,Normal value (A)
2016,66831.00,Normal value (A)
2015,66581.00,Normal value (A)
2014,66312.00,Normal value (A)
2013,65991.00,Normal value (A)
2012,65651.00,Normal value (A)
2011,65330.00,Normal value (A)
2010,65011.00,Normal value (A)
2009,64692.00,Normal value (A)
2008,64361.00,Normal value (A)
2007,64003.00,Normal value (A)
2006,63609.00,Normal value (A)
2005,63168.00,Normal value (A)
2004,62695.00,Normal value (A)
2003,62235.00,Normal value (A)
2002,61796.00,Normal value (A)
2001,61348.00,Normal value (A)
2000,60903.00,Normal value (A)
1999,60487.00,Normal value (A)
1998,60176.00,Normal value (A)
1997,59955.00,Normal value (A)
1996,59742.00,Normal value (A)
1995,59530.00,Normal value (A)
1994,59315.00,Normal value (A)
1993,59095.00,Normal value (A)
1992,58839.00,Normal value (A)
1991,58548.00,Normal value (A)
1990,58256.00,Normal value (A)
1989,57938.00,Normal value (A)
1988,57594.00,Normal value (A)
1987,57263.00,Normal value (A)
1986,56953.00,Normal value (A)
1985,56663.00,Normal value (A)
1984,56381.00,Normal value (A)
1983,56107.00,Normal value (A)
1982,55805.00,Normal value (A)
1981,55470.00,Normal value (A)
1980,55157.00,Normal value (A)
1979,54873.00,Normal value (A)
1978,54634.00,Normal value (A)
1977,54395.00,Normal value (A)
1976,54149.00,Normal value (A)
1975,53932.00,Normal value (A)
1974,53682.00,Normal value (A)
1973,53333.00,Normal value (A)
1972,52907.00,Normal value (A)
1971,52439.00,Normal value (A)
1970,51944.00,Normal value (A)
1969,51473.00,Normal value (A)
1968,51053.00,Normal value (A)
1967,50669.00,Normal value (A)
1966,50260.00,Normal value (A)
1965,49830.00,Normal value (A)
1964,49357.00,Normal value (A)
1963,48840.00,Normal value (A)
1962,47999.00,Normal value (A)
1961,47141.00,Normal value (A)
1960,46640.00,Normal value (A)
1959,46175.00,Normal value (A)
1958,45692.00,Normal value (A)
1957,45186.00,Normal value (A)
1956,44691.00,Normal value (A)
1955,44250.00,Normal value (A)
1954,43853.00,Normal value (A)
1953,43523.00,Normal value (A)
1952,43207.00,Normal value (A)
1951,42880.00,Normal value (A)
1950,42530.00,Normal value (A)
1949,42159.00,Normal value (A)
