Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=390.ENA.A.N.DE.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,ENA.A.N.DE.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,"Total population - Germany - World (all entities, including reference area, including IO), Total economy, Persons, Not applicable, Non transformed data, Neither seasonally adjusted nor calendar adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Thousands]
,,obs. status
2022,83794.00,Provisional value (P)
2021,83196.00,Provisional value (P)
2020,83161.00,Provisional value (P)
2019,83093.00,Provisional value (P)
2018,82906.00,Normal value (A)
2017,82657.00,Normal value (A)
2016,82349.00,Normal value (A)
2015,81687.00,Normal value (A)
2014,80983.00,Normal value (A)
2013,80646.00,Normal value (A)
2012,80426.00,Normal value (A)
2011,80275.00,Normal value (A)
2010,80284.00,Normal value (A)
2009,80483.00,Normal value (A)
2008,80764.00,Normal value (A)
2007,80992.00,Normal value (A)
2006,81173.00,Normal value (A)
2005,81337.00,Normal value (A)
2004,81456.00,Normal value (A)
2003,81549.00,Normal value (A)
2002,81578.00,Normal value (A)
2001,81517.00,Normal value (A)
2000,81457.00,Normal value (A)
1999,81422.00,Normal value (A)
1998,81446.00,Normal value (A)
1997,81510.00,Normal value (A)
1996,81466.00,Normal value (A)
1995,81308.00,Normal value (A)
1994,81147.00,Normal value (A)
1993,80946.00,Normal value (A)
1992,80500.00,Normal value (A)
1991,79973.00,Normal value (A)
