Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=390.ENA.A.N.GR.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,ENA.A.N.GR.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,"Total population - Greece - World (all entities, including reference area, including IO), Total economy, Persons, Not applicable, Non transformed data, Neither seasonally adjusted nor calendar adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Thousands]
,,obs. status
2022,10578.02,Provisional value (P)
2021,10640.41,Provisional value (P)
2020,10698.59,Provisional value (P)
2019,10721.57,Normal value (A)
2018,10732.89,Normal value (A)
2017,10754.69,Normal value (A)
2016,10775.98,Normal value (A)
2015,10820.91,Normal value (A)
2014,10892.38,Normal value (A)
2013,10965.21,Normal value (A)
2012,11045.01,Normal value (A)
2011,11104.94,Normal value (A)
2010,11121.38,Time series break (B)
2009,11107.02,Normal value (A)
2008,11077.86,Normal value (A)
2007,11048.50,Normal value (A)
2006,11020.39,Normal value (A)
2005,10987.35,Normal value (A)
2004,10955.16,Normal value (A)
2003,10928.09,Normal value (A)
2002,10902.00,Normal value (A)
2001,10862.15,Normal value (A)
2000,10805.80,Normal value (A)
1999,10761.70,Normal value (A)
1998,10720.57,Normal value (A)
1997,10661.31,Normal value (A)
1996,10608.82,Normal value (A)
1995,10562.16,Normal value (A)
