Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=390.ENA.A.N.IE.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,ENA.A.N.IE.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,"Total population - Ireland - World (all entities, including reference area, including IO), Total economy, Persons, Not applicable, Non transformed data, Neither seasonally adjusted nor calendar adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Thousands]
,,obs. status
2022,5114.71,Normal value (A)
2021,5018.63,Normal value (A)
2020,4980.33,Normal value (A)
2019,4927.17,Normal value (A)
2018,4860.65,Normal value (A)
2017,4802.27,Normal value (A)
2016,4748.99,Normal value (A)
2015,4695.77,Normal value (A)
2014,4652.46,Normal value (A)
2013,4620.04,Normal value (A)
2012,4597.44,Normal value (A)
2011,4578.54,Normal value (A)
2010,4559.77,Normal value (A)
2009,4539.16,Normal value (A)
2008,4496.03,Normal value (A)
2007,4400.18,Normal value (A)
2006,4269.82,Normal value (A)
2005,4160.01,Normal value (A)
2004,4067.35,Normal value (A)
2003,3996.99,Normal value (A)
2002,3931.85,Normal value (A)
2001,3863.80,Normal value (A)
2000,3804.25,Normal value (A)
1999,3754.78,Normal value (A)
1998,3714.18,Normal value (A)
1997,3664.30,Normal value (A)
1996,3626.10,Normal value (A)
1995,3601.30,Normal value (A)
