Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=390.ENA.A.N.LV.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,ENA.A.N.LV.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,"Total population - Latvia - World (all entities, including reference area, including IO), Total economy, Persons, Not applicable, Non transformed data, Neither seasonally adjusted nor calendar adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Thousands]
,,obs. status
2022,1886.22,Normal value (A)
2021,1883.01,Normal value (A)
2020,1900.86,Normal value (A)
2019,1913.19,Normal value (A)
2018,1926.25,Normal value (A)
2017,1941.16,Normal value (A)
2016,1959.34,Normal value (A)
2015,1977.31,Normal value (A)
2014,1994.25,Normal value (A)
2013,2012.81,Normal value (A)
2012,2033.65,Normal value (A)
2011,2058.82,Normal value (A)
2010,2097.29,Normal value (A)
2009,2141.99,Normal value (A)
2008,2177.72,Normal value (A)
2007,2201.03,Normal value (A)
2006,2218.66,Normal value (A)
2005,2238.75,Normal value (A)
2004,2263.00,Normal value (A)
2003,2288.09,Normal value (A)
2002,2310.38,Normal value (A)
2001,2337.70,Normal value (A)
2000,2367.61,Normal value (A)
1999,2390.50,Normal value (A)
1998,2410.02,Normal value (A)
1997,2432.85,Normal value (A)
1996,2457.22,Normal value (A)
1995,2485.06,Normal value (A)
