Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=390.ENA.A.N.LT.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,ENA.A.N.LT.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,"Total population - Lithuania - World (all entities, including reference area, including IO), Total economy, Persons, Not applicable, Non transformed data, Neither seasonally adjusted nor calendar adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Thousands]
,,obs. status
2022,2833.00,Normal value (A)
2021,2808.38,Normal value (A)
2020,2794.89,Normal value (A)
2019,2794.14,Normal value (A)
2018,2801.54,Normal value (A)
2017,2828.40,Normal value (A)
2016,2868.23,Normal value (A)
2015,2904.91,Normal value (A)
2014,2932.37,Normal value (A)
2013,2957.69,Normal value (A)
2012,2987.77,Normal value (A)
2011,3028.11,Normal value (A)
2010,3097.28,Normal value (A)
2009,3162.92,Normal value (A)
2008,3198.23,Normal value (A)
2007,3231.29,Normal value (A)
2006,3269.91,Normal value (A)
2005,3322.50,Normal value (A)
2004,3377.07,Normal value (A)
2003,3415.21,Normal value (A)
2002,3443.07,Normal value (A)
2001,3470.82,Normal value (A)
2000,3499.50,Normal value (A)
1999,3524.20,Normal value (A)
1998,3549.30,Normal value (A)
1997,3575.20,Normal value (A)
1996,3601.60,Normal value (A)
1995,3629.10,Normal value (A)
