Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=390.ENA.A.N.LU.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,ENA.A.N.LU.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,"Total population - Luxembourg - World (all entities, including reference area, including IO), Total economy, Persons, Not applicable, Non transformed data, Neither seasonally adjusted nor calendar adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Thousands]
,,obs. status
2022,655.27,Provisional value (P)
2021,641.04,Normal value (A)
2020,631.09,Normal value (A)
2019,621.50,Normal value (A)
2018,608.81,Normal value (A)
2017,596.98,Normal value (A)
2016,584.13,Normal value (A)
2015,569.40,Normal value (A)
2014,558.33,Normal value (A)
2013,545.33,Normal value (A)
2012,531.50,Normal value (A)
2011,519.42,Normal value (A)
2010,507.54,Normal value (A)
2009,498.22,Normal value (A)
2008,489.23,Normal value (A)
2007,480.70,Normal value (A)
2006,472.93,Normal value (A)
2005,465.70,Normal value (A)
2004,458.51,Normal value (A)
2003,452.26,Normal value (A)
2002,446.65,Normal value (A)
2001,441.86,Normal value (A)
2000,436.98,Normal value (A)
1999,431.34,Normal value (A)
1998,425.19,Normal value (A)
1997,419.85,Normal value (A)
1996,414.46,Normal value (A)
1995,409.51,Normal value (A)
