Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=390.ENA.A.N.MT.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,ENA.A.N.MT.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,"Total population - Malta - World (all entities, including reference area, including IO), Total economy, Persons, Not applicable, Non transformed data, Neither seasonally adjusted nor calendar adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Thousands]
,,obs. status
2022,530.68,Normal value (A)
2021,518.68,Normal value (A)
2020,515.88,Normal value (A)
2019,504.74,Normal value (A),
2018,485.23,Normal value (A),
2017,468.50,Normal value (A),
2016,455.67,Normal value (A),
2015,445.35,Normal value (A),
2014,434.88,Normal value (A),
2013,426.07,Normal value (A),
2012,420.06,Normal value (A),
2011,416.27,Normal value (A),
2010,414.47,Normal value (A),
2009,412.45,Normal value (A),
2008,409.38,Normal value (A),
2007,406.74,Normal value (A),
2006,405.25,Normal value (A),
2005,403.80,Normal value (A),
2004,401.16,Normal value (A),
2003,398.57,Normal value (A),
2002,395.93,Normal value (A),
2001,393.10,Normal value (A),
2000,389.96,Normal value (A),
1999,387.48,Normal value (A),
1998,385.27,Normal value (A),
1997,382.79,Normal value (A),
1996,380.00,Normal value (A),
1995,377.78,Normal value (A),
