Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=390.ENA.A.N.NL.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,ENA.A.N.NL.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,"Total population - Netherlands - World (all entities, including reference area, including IO), Total economy, Persons, Not applicable, Non transformed data, Neither seasonally adjusted nor calendar adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Thousands]
,,obs. status
2022,17703.00,Provisional value (P)
2021,17533.00,Provisional value (P)
2020,17442.00,Provisional value (P)
2019,17345.00,Normal value (A)
2018,17232.00,Normal value (A)
2017,17131.00,Normal value (A)
2016,17030.00,Normal value (A)
2015,16940.00,Normal value (A)
2014,16865.00,Normal value (A)
2013,16804.00,Normal value (A)
2012,16755.00,Normal value (A)
2011,16693.00,Normal value (A)
2010,16615.00,Normal value (A)
2009,16530.00,Normal value (A)
2008,16446.00,Normal value (A)
2007,16382.00,Normal value (A)
2006,16346.00,Normal value (A)
2005,16320.00,Normal value (A)
2004,16282.00,Normal value (A)
2003,16225.00,Normal value (A)
2002,16149.00,Normal value (A)
2001,16046.00,Normal value (A)
2000,15926.00,Normal value (A)
1999,15812.00,Normal value (A)
1998,15707.00,Normal value (A)
1997,15611.00,Normal value (A)
1996,15530.00,Normal value (A)
1995,15459.00,Normal value (A)
