Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=390.ENA.A.N.PT.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,ENA.A.N.PT.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,"Total population - Portugal - World (all entities, including reference area, including IO), Total economy, Persons, Not applicable, Non transformed data, Neither seasonally adjusted nor calendar adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Thousands]
,,obs. status
2022,10274.10,Provisional value (P)
2021,10288.00,Provisional value (P)
2020,10297.10,Normal value (A)
2019,10286.30,Normal value (A)
2018,10283.80,Normal value (A)
2017,10300.30,Normal value (A)
2016,10325.50,Normal value (A)
2015,10358.10,Normal value (A)
2014,10401.10,Normal value (A)
2013,10457.30,Normal value (A)
2012,10514.80,Normal value (A)
2011,10557.60,Normal value (A)
2010,10573.10,Normal value (A)
2009,10568.20,Normal value (A)
2008,10558.20,Normal value (A)
2007,10543.00,Normal value (A)
2006,10522.30,Normal value (A)
2005,10503.30,Normal value (A)
2004,10483.90,Normal value (A)
2003,10458.80,Normal value (A)
2002,10419.60,Normal value (A)
2001,10362.70,Normal value (A)
2000,10289.90,Normal value (A)
1999,10217.80,Normal value (A)
1998,10160.20,Normal value (A)
1997,10109.00,Normal value (A)
1996,10063.90,Normal value (A)
1995,10026.20,Normal value (A)
