Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=390.ENA.A.N.SK.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,ENA.A.N.SK.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,"Total population - Slovakia - World (all entities, including reference area, including IO), Total economy, Persons, Not applicable, Non transformed data, Neither seasonally adjusted nor calendar adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Thousands]
,,obs. status
2022,5500.56,Normal value (A)
2021,5440.66,Normal value (A)
2020,5460.51,Normal value (A)
2019,5453.24,Normal value (A)
2018,5446.01,Normal value (A)
2017,5438.39,Normal value (A)
2016,5430.80,Normal value (A)
2015,5422.34,Normal value (A)
2014,5418.56,Normal value (A)
2013,5413.00,Normal value (A)
2012,5406.24,Normal value (A)
2011,5398.11,Normal value (A)
2010,5429.97,Normal value (A)
2009,5417.76,Normal value (A)
2008,5405.86,Normal value (A)
2007,5396.57,Normal value (A)
2006,5390.92,Normal value (A)
2005,5387.10,Normal value (A)
2004,5382.36,Normal value (A)
2003,5379.33,Normal value (A)
2002,5378.66,Normal value (A)
2001,5379.53,Normal value (A)
2000,5400.70,Normal value (A)
1999,5395.61,Normal value (A)
1998,5390.84,Normal value (A)
1997,5383.47,Normal value (A)
1996,5373.65,Normal value (A)
1995,5363.36,Normal value (A)
