Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=390.ENA.A.N.SI.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,ENA.A.N.SI.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,"Total population - Slovenia - World (all entities, including reference area, including IO), Total economy, Persons, Not applicable, Non transformed data, Neither seasonally adjusted nor calendar adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Thousands]
,,obs. status
2022,2108.59,Normal value (A)
2021,2107.73,Normal value (A)
2020,2102.80,Normal value (A)
2019,2089.01,Normal value (A)
2018,2071.96,Normal value (A)
2017,2065.82,Normal value (A)
2016,2064.63,Normal value (A)
2015,2063.30,Normal value (A)
2014,2061.80,Normal value (A)
2013,2059.55,Normal value (A)
2012,2056.77,Normal value (A)
2011,2052.84,Normal value (A)
2010,2048.82,Normal value (A)
2009,2041.66,Normal value (A)
2008,2021.97,Time series break (B)
2007,2018.87,Normal value (A)
2006,2007.85,Normal value (A)
2005,2000.81,Normal value (A)
2004,1997.27,Normal value (A)
2003,1996.28,Normal value (A)
2002,1995.03,Normal value (A)
2001,1991.95,Normal value (A)
2000,1989.39,Normal value (A)
1999,1983.71,Normal value (A)
1998,1982.35,Normal value (A)
1997,1986.33,Normal value (A)
1996,1989.86,Normal value (A)
1995,1988.69,Normal value (A)
