Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=390.ENA.A.N.ES.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,ENA.A.N.ES.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,"Total population - Spain - World (all entities, including reference area, including IO), Total economy, Persons, Not applicable, Non transformed data, Neither seasonally adjusted nor calendar adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Thousands]
,,obs. status
2022,47615.03,Provisional value (P)
2021,47331.54,Provisional value (P)
2020,47355.68,Provisional value (P)
2019,47105.36,Normal value (A)
2018,46728.81,Normal value (A)
2017,46532.87,Normal value (A)
2016,46449.87,Normal value (A)
2015,46410.15,Normal value (A)
2014,46455.12,Normal value (A)
2013,46593.24,Normal value (A)
2012,46766.40,Normal value (A)
2011,46736.26,Normal value (A)
2010,46562.48,Normal value (A)
2009,46367.55,Normal value (A)
2008,45983.17,Normal value (A)
2007,45236.00,Normal value (A)
2006,44360.52,Normal value (A)
2005,43662.61,Normal value (A)
2004,42859.17,Normal value (A)
2003,42196.23,Normal value (A)
2002,41423.52,Normal value (A)
2001,40766.05,Normal value (A)
2000,40554.39,Normal value (A)
1999,40369.67,Normal value (A)
1998,40214.07,Normal value (A)
1997,40049.97,Normal value (A)
1996,39884.25,Normal value (A)
1995,39718.89,Normal value (A)
