Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=390.ENA.A.N.IT.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,ENA.A.N.IT.W0.S1.S1._Z.POP._Z._Z._Z.PS._Z.N
,"Total population - Italy - World (all entities, including reference area, including IO), Total economy, Persons, Not applicable, Non transformed data, Neither seasonally adjusted nor calendar adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Thousands]
,,obs. status
2022,58941.60,Normal value (A)
2021,59133.20,Normal value (A)
2020,59438.90,Normal value (A)
2019,59729.10,Normal value (A)
2018,59877.20,Normal value (A)
2017,60002.30,Normal value (A)
2016,60115.20,Normal value (A)
2015,60229.60,Normal value (A)
2014,60320.70,Normal value (A)
2013,60311.60,Normal value (A)
2012,60191.20,Normal value (A)
2011,60026.80,Normal value (A)
2010,59819.40,Normal value (A)
2009,59555.50,Normal value (A)
2008,59211.20,Normal value (A)
2007,58756.20,Normal value (A)
2006,58399.90,Normal value (A)
2005,58166.70,Normal value (A)
2004,57828.20,Normal value (A)
2003,57399.20,Normal value (A)
2002,57089.80,Normal value (A)
2001,56979.80,Normal value (A)
2000,56942.10,Normal value (A)
1999,56916.30,Normal value (A)
1998,56906.70,Normal value (A)
1997,56890.40,Normal value (A)
1996,56860.30,Normal value (A)
1995,56844.30,Normal value (A)
